,date,volume
0,01-01-2015,3859
1,02-01-2015,42915
2,03-01-2015,0
3,04-01-2015,10580
4,05-01-2015,74603
5,06-01-2015,67838
6,07-01-2015,64898
7,08-01-2015,62393
8,09-01-2015,54109
9,10-01-2015,0
10,11-01-2015,10087
11,12-01-2015,70136
12,13-01-2015,68938
13,14-01-2015,59750
14,15-01-2015,59184
15,16-01-2015,50757
16,17-01-2015,0
17,18-01-2015,11832
18,19-01-2015,69552
19,20-01-2015,59398
20,21-01-2015,58312
21,22-01-2015,56161
22,23-01-2015,45572
23,24-01-2015,0
24,25-01-2015,10107
25,26-01-2015,68132
26,27-01-2015,64215
27,28-01-2015,56581
28,29-01-2015,55411
29,30-01-2015,47629
30,31-01-2015,0
31,01-02-2015,11882
32,02-02-2015,69232
33,03-02-2015,66435
34,04-02-2015,62462
35,05-02-2015,61636
36,06-02-2015,47384
37,07-02-2015,0
38,08-02-2015,12401
39,09-02-2015,65906
40,10-02-2015,60589
41,11-02-2015,51579
42,12-02-2015,50059
43,13-02-2015,42156
44,14-02-2015,0
45,15-02-2015,8989
46,16-02-2015,60477
47,17-02-2015,55064
48,18-02-2015,53161
49,19-02-2015,50790
50,20-02-2015,42643
51,21-02-2015,0
52,22-02-2015,8722
53,23-02-2015,62610
54,24-02-2015,58884
55,25-02-2015,54617
56,26-02-2015,53866
57,27-02-2015,44916
58,28-02-2015,0
59,01-03-2015,9755
60,02-03-2015,70612
61,03-03-2015,63448
62,04-03-2015,60374
63,05-03-2015,58517
64,06-03-2015,46680
65,07-03-2015,0
66,08-03-2015,11042
67,09-03-2015,65504
68,10-03-2015,58897
69,11-03-2015,56026
70,12-03-2015,53755
71,13-03-2015,44369
72,14-03-2015,0
73,15-03-2015,9757
74,16-03-2015,63799
75,17-03-2015,58842
76,18-03-2015,55080
77,19-03-2015,54123
78,20-03-2015,43564
79,21-03-2015,0
80,22-03-2015,10857
81,23-03-2015,66308
82,24-03-2015,57106
83,25-03-2015,58164
84,26-03-2015,56591
85,27-03-2015,44359
86,28-03-2015,0
87,29-03-2015,10214
88,30-03-2015,67283
89,31-03-2015,58475
90,01-04-2015,50096
91,02-04-2015,0
92,03-04-2015,0
93,04-04-2015,0
94,05-04-2015,0
95,06-04-2015,16125
96,07-04-2015,77606
97,08-04-2015,77477
98,09-04-2015,65476
99,10-04-2015,50782
100,11-04-2015,0
101,12-04-2015,12488
102,13-04-2015,72280
103,14-04-2015,64192
104,15-04-2015,61663
105,16-04-2015,57938
106,17-04-2015,46612
107,18-04-2015,0
108,19-04-2015,10799
109,20-04-2015,65519
110,21-04-2015,59341
111,22-04-2015,58354
112,23-04-2015,57240
113,24-04-2015,48348
114,25-04-2015,0
115,26-04-2015,10165
116,27-04-2015,70375
117,28-04-2015,62265
118,29-04-2015,59236
119,30-04-2015,50405
120,01-05-2015,38
121,02-05-2015,0
122,03-05-2015,9814
123,04-05-2015,79049
124,05-05-2015,71630
125,06-05-2015,61619
126,07-05-2015,62185
127,08-05-2015,48664
128,09-05-2015,0
129,10-05-2015,11898
130,11-05-2015,69252
131,12-05-2015,64520
132,13-05-2015,58154
133,14-05-2015,343
134,15-05-2015,40666
135,16-05-2015,0
136,17-05-2015,10045
137,18-05-2015,70818
138,19-05-2015,62081
139,20-05-2015,59436
140,21-05-2015,55845
141,22-05-2015,45003
142,23-05-2015,0
143,24-05-2015,0
144,25-05-2015,11068
145,26-05-2015,75398
146,27-05-2015,62360
147,28-05-2015,58866
148,29-05-2015,47931
149,30-05-2015,0
150,31-05-2015,11870
151,01-06-2015,73475
152,02-06-2015,68689
153,03-06-2015,63449
154,04-06-2015,53852
155,05-06-2015,134
156,06-06-2015,0
157,07-06-2015,14557
158,08-06-2015,72010
159,09-06-2015,72331
160,10-06-2015,58670
161,11-06-2015,55590
162,12-06-2015,43542
163,13-06-2015,0
164,14-06-2015,11151
165,15-06-2015,67071
166,16-06-2015,60789
167,17-06-2015,57581
168,18-06-2015,54535
169,19-06-2015,41823
170,20-06-2015,0
171,21-06-2015,7611
172,22-06-2015,64415
173,23-06-2015,59596
174,24-06-2015,53045
175,25-06-2015,52293
176,26-06-2015,43362
177,27-06-2015,0
178,28-06-2015,10270
179,29-06-2015,63733
180,30-06-2015,56310
181,01-07-2015,52507
182,02-07-2015,50885
183,03-07-2015,39462
184,04-07-2015,0
185,05-07-2015,9010
186,06-07-2015,57453
187,07-07-2015,51702
188,08-07-2015,50571
189,09-07-2015,47467
190,10-07-2015,38344
191,11-07-2015,0
192,12-07-2015,8527
193,13-07-2015,53905
194,14-07-2015,48178
195,15-07-2015,41592
196,16-07-2015,40173
197,17-07-2015,32424
198,18-07-2015,0
199,19-07-2015,6608
200,20-07-2015,46819
201,21-07-2015,42976
202,22-07-2015,39995
203,23-07-2015,38326
204,24-07-2015,32546
205,25-07-2015,0
206,26-07-2015,7049
207,27-07-2015,52739
208,28-07-2015,49939
209,29-07-2015,46131
210,30-07-2015,44012
211,31-07-2015,40506
212,01-08-2015,0
213,02-08-2015,9858
214,03-08-2015,56448
215,04-08-2015,64955
216,05-08-2015,62128
217,06-08-2015,52884
218,07-08-2015,42084
219,08-08-2015,0
220,09-08-2015,9946
221,10-08-2015,62701
222,11-08-2015,58091
223,12-08-2015,55506
224,13-08-2015,53419
225,14-08-2015,41465
226,15-08-2015,0
227,16-08-2015,9550
228,17-08-2015,66984
229,18-08-2015,60829
230,19-08-2015,55067
231,20-08-2015,53427
232,21-08-2015,42687
233,22-08-2015,0
234,23-08-2015,9917
235,24-08-2015,63827
236,25-08-2015,56913
237,26-08-2015,57009
238,27-08-2015,51164
239,28-08-2015,48847
240,29-08-2015,0
241,30-08-2015,12137
242,31-08-2015,67717
243,01-09-2015,67925
244,02-09-2015,62037
245,03-09-2015,58813
246,04-09-2015,46443
247,05-09-2015,0
248,06-09-2015,12181
249,07-09-2015,69625
250,08-09-2015,60624
251,09-09-2015,56475
252,10-09-2015,54522
253,11-09-2015,41525
254,12-09-2015,0
255,13-09-2015,14552
256,14-09-2015,67487
257,15-09-2015,65313
258,16-09-2015,57196
259,17-09-2015,54635
260,18-09-2015,43587
261,19-09-2015,0
262,20-09-2015,9967
263,21-09-2015,65020
264,22-09-2015,58825
265,23-09-2015,56676
266,24-09-2015,55006
267,25-09-2015,43746
268,26-09-2015,0
269,27-09-2015,11636
270,28-09-2015,66688
271,29-09-2015,59219
272,30-09-2015,58629
273,01-10-2015,57422
274,02-10-2015,45425
275,03-10-2015,0
276,04-10-2015,13800
277,05-10-2015,69128
278,06-10-2015,64638
279,07-10-2015,59953
280,08-10-2015,59839
281,09-10-2015,47668
282,10-10-2015,0
283,11-10-2015,11155
284,12-10-2015,62445
285,13-10-2015,56903
286,14-10-2015,53898
287,15-10-2015,49596
288,16-10-2015,41777
289,17-10-2015,0
290,18-10-2015,10077
291,19-10-2015,64730
292,20-10-2015,59168
293,21-10-2015,57597
294,22-10-2015,53988
295,23-10-2015,48237
296,24-10-2015,0
297,25-10-2015,10132
298,26-10-2015,66120
299,27-10-2015,61309
300,28-10-2015,56589
